"analisis","fc","rm","auc_train","auc_val","auc_diff","cbi_val","or_10p","ncoef"
"ENMeval directo","LQHP",1,0.8443321,0.7415053,0.1110438,0.799,0.1046512,31
"Wallace","LQHP",1,0.8489026,0.794566,0.1030216,0.6865,0.09302326,32
