"fc","rm","tune.args","auc.train","cbi.train","auc.diff.avg","auc.diff.sd","auc.val.avg","auc.val.sd","cbi.val.avg","cbi.val.sd","or.10p.avg","or.10p.sd","or.mtp.avg","or.mtp.sd","AICc","delta.AICc","w.AIC","ncoef"
"H",2,"fc.H_rm.2",0.816242401671881,0.978,0.120299973918687,0.0631935769260637,0.710076196100045,0.0597366872778926,0.74075,0.17172531360674,0.11046511627907,0.136101161752554,0,0,2948.42982393606,36.3256952291454,1.24173069249643e-08,16
"LQH",2,"fc.LQH_rm.2",0.816132317041394,0.986,0.125375787949003,0.0746156158932774,0.701507237659134,0.0669842094689529,0.705,0.141833235409289,0.104651162790698,0.133594480152047,0,0,2967.38700489928,55.2828761923579,9.49571941935002e-13,24
"LQHP",2,"fc.LQHP_rm.2",0.825021650953257,0.963,0.0966552732404605,0.0704783285265841,0.737617804557747,0.0561476244198114,0.83975,0.094830990012056,0.11046511627907,0.130695467442538,0.0290697674418605,0.0581395348837209,2929.57940050477,17.4752717978517,0.00015393765086477,22
"L",2.5,"fc.L_rm.2.5",0.678852098371157,0.882,0.180856424900642,0.0614606659541001,0.547897660050184,0.0507672117660314,0.124,0.23173691980347,0.180232558139535,0.345135397201298,0,0,3079.08876229846,166.984633591542,5.26986445384547e-37,5
"LQ",2.5,"fc.LQ_rm.2.5",0.753906979658351,0.922,0.132382297404991,0.058794217406995,0.640415635411882,0.0233848400449374,0.4865,0.150630895458623,0.0872093023255814,0.132067635948844,0.0174418604651163,0.0348837209302326,3023.75880544995,111.654676743032,5.45188788830701e-25,9
"H",2.5,"fc.H_rm.2.5",0.814225159373853,0.981,0.10813657941753,0.0721779296149457,0.716917121127753,0.0651209504006346,0.79475,0.116293808949574,0.104651162790698,0.133594480152047,0,0,2957.9705387111,45.8664100041874,1.05265855859858e-10,17
"LQH",2.5,"fc.LQH_rm.2.5",0.813655412855426,0.983,0.12224515687368,0.08074073536875,0.700076578847312,0.07276062085305,0.71,0.145384547551198,0.104651162790698,0.142728315035054,0,0,2955.94846110216,43.8443323952383,2.89318429925172e-10,17
"LQHP",2.5,"fc.LQHP_rm.2.5",0.820980725235203,0.958,0.0910332514983186,0.0721361908015368,0.738929947306353,0.0562762468805086,0.82,0.0776530746332687,0.0988372093023256,0.123606346659705,0.0290697674418605,0.0581395348837209,2921.7498235051,9.64569479817783,0.00771819768875021,15
"L",3,"fc.L_rm.3",0.67912438216465,0.89,0.179734428797177,0.0596528280918122,0.548716685778337,0.0493244381807858,0.1425,0.207178666855446,0.180232558139535,0.345135397201298,0,0,3079.29625171159,167.192123004672,4.7505477886555e-37,5
"LQ",3,"fc.LQ_rm.3",0.748723047564173,0.918,0.139230690091959,0.0545070794667003,0.628920306935536,0.0168406101735715,0.51725,0.169914439253015,0.0813953488372093,0.120840754016433,0.00581395348837209,0.0116279069767442,3027.64408034315,115.539951636231,7.81394217644099e-26,8
"H",3,"fc.H_rm.3",0.812651768937045,0.974,0.104052034584546,0.0731471207825898,0.717355530136688,0.0642227387383209,0.68475,0.313900594668652,0.0988372093023256,0.12648968117892,0.00581395348837209,0.0116279069767442,2955.27973151635,43.175602809436,4.04193089500994e-10,13
"LQH",3,"fc.LQH_rm.3",0.811665106158474,0.987,0.130248527486244,0.088117388882979,0.68734473292259,0.0839971153533226,0.53775,0.339538289446124,0.0872093023255814,0.132067635948844,0,0,2962.5160020787,50.4118733717783,1.08455778656427e-11,17
"LQHP",3,"fc.LQHP_rm.3",0.818859253872139,0.947,0.0954964281970601,0.0740345388594254,0.730620726376097,0.0632629588188849,0.8125,0.0727025905086378,0.0988372093023256,0.123606346659705,0.0290697674418605,0.0581395348837209,2927.72336101304,15.6192323061227,0.000389384544571274,15
"L",3.5,"fc.L_rm.3.5",0.679406034862866,0.883,0.178736620627705,0.0579043437859657,0.549492242116262,0.0482002935345303,0.149,0.186881424081332,0.162790697674419,0.310271257305264,0,0,3079.53733346821,167.433204761295,4.21107962163869e-37,5
"LQ",3.5,"fc.LQ_rm.3.5",0.744314392335767,0.912,0.140455766498115,0.0556195430686156,0.623137386509031,0.0168486441782399,0.43975,0.132575450216094,0.0813953488372093,0.120840754016433,0.00581395348837209,0.0116279069767442,3030.38521848979,118.281089782869,1.98444747108036e-26,7
"H",3.5,"fc.H_rm.3.5",0.811857754261827,0.976,0.0966459989365189,0.0676590376318855,0.722803167006205,0.0530329723120917,0.701,0.313807796801375,0.0930232558139535,0.12737733895469,0.00581395348837209,0.0116279069767442,2957.07832623257,44.9741975256534,1.64448154445198e-10,11
"LQH",3.5,"fc.LQH_rm.3.5",0.808370765035482,0.992,0.129668816673006,0.082965273766131,0.683637996904336,0.0773398568958505,0.55675,0.354696466479909,0.0872093023255814,0.132067635948844,0,0,2972.25166017426,60.1475314673457,8.34029481381978e-14,17
"LQHP",3.5,"fc.LQHP_rm.3.5",0.816644093461851,0.944,0.0991287666763178,0.0757123448952903,0.723964757529099,0.066463166694437,0.7055,0.148773877635379,0.0988372093023256,0.123606346659705,0.0290697674418605,0.0581395348837209,2934.32423146574,22.2201027588244,1.43554860952308e-05,15
"L",4,"fc.L_rm.4",0.679697056465803,0.889,0.177587963237435,0.0560752894459872,0.550396008639796,0.0471238371095524,0.16,0.133892992099412,0.162790697674419,0.310271257305264,0,0,3079.81458726415,167.710458557234,3.66596704143806e-37,5
"LQ",4,"fc.LQ_rm.4",0.741893701578133,0.921,0.144456250098428,0.0517257802931911,0.616685273582714,0.0116877651522313,0.42725,0.113085144913026,0.0813953488372093,0.120840754016433,0.00581395348837209,0.0116279069767442,3031.48138674283,119.377258035917,1.14712222924965e-26,6
"H",4,"fc.H_rm.4",0.810841813655998,0.981,0.0985097949895647,0.0601055191822089,0.719327949417087,0.0448944015604368,0.6875,0.317513779228556,0.0930232558139535,0.12737733895469,0.00581395348837209,0.0116279069767442,2961.16446714124,49.0603384343231,2.13174267534929e-11,10
"LQH",4,"fc.LQH_rm.4",0.805392038890324,0.986,0.132040656662062,0.0753840477222202,0.677204030894126,0.0667819655196474,0.5435,0.334095295786497,0.0872093023255814,0.132067635948844,0,0,2973.61153912414,61.5074104172227,4.22559082042452e-14,14
"LQHP",4,"fc.LQHP_rm.4",0.814592888884204,0.935,0.0997415950567042,0.0765214907455897,0.721519067189524,0.0659514951034492,0.67675,0.125696393477829,0.104651162790698,0.126667710374947,0.0290697674418605,0.0581395348837209,2936.49447533753,24.3903466306174,4.8501529451593e-06,13
